E/N [Td],t [µs],Láser %,mV/div,ns/div
1,3.11,100,50,500
1.2,2.69,100,50,500
1.4,2.33,100,50,500
1.6,2.06,100,50,500
1.8,1.86,100,50,500
2,1.71,100,50,500
2.3,1.54,100,50,500
2.6,1.4,100,50,500
3,1.275,80,100,250
3.3,1.18,80,100,250
3.6,1.115,80,100,250
4,1.05,80,100,250
4.5,1.005,80,100,250
5,0.98,80,100,250
5.5,0.975,80,100,250
6,0.975,80,100,250
7,1,80,100,250
8,1.035,80,100,250
9,1.075,80,100,250
10,1.08,80,100,250
12,,Descarga 2120 V,,
