E/N [Td],t [µs],Láser %,mV/div,ns/div
1,3.03,100,50,500
1.2,2.56,100,50,500
1.4,2.31,100,50,500
1.6,2.06,100,50,500
1.8,1.87,100,50,500
2,1.73,100,50,500
2.2,1.61,100,50,500
2.3,1.55,100,50,500
2.6,1.41,100,50,500
3,1.265,100,100,250
3.3,1.195,100,100,250
3.6,1.125,100,100,250
4,1.06,100,100,250
4.5,1.01,100,100,250
5,0.985,80,100,250
5.5,0.97,60,100,250
6,0.97,60,100,250
7,1,40,100,250
8,1.04,40,100,250
9,1.07,40,100,250
10,1.1,40,100,250
12,,Descarga 2120 V,,
