Fuente catodo,Voltaje anodo,Voltaje blindaje,
0,0,0,
0.1,0.2,6.4,
0.2,0.5,8.2,
0.3,1,10.6,
0.4,2.1,12.9,
0.5,3.9,15.5,
0.6,6.2,18.3,
0.7,9,21.1,
0.8,11.5,24.1,
0.9,13.8,27.2,
1,15.7,30.5,
1.1,17.1,33.7,
1.2,18.1,37.1,
1.3,18.8,40.6,
1.4,19.1,44,
1.5,19.2,47.6,
1.6,19.2,51.2,
1.7,19.1,54.9,
1.8,18.8,58.6,
1.9,18.5,62.4,
2,18,66.1,
2.1,17.5,70,
2.2,16.9,73.8,
2.3,16.3,77.7,
2.4,15.8,81.6,
2.5,15.3,85.5,
2.6,14.9,89.4,
2.7,14.3,93.2,
2.8,14,97.1,
2.9,13.5,101.1,
3,13.2,105.1,
3.1,12.9,109.1,
3.2,12.6,113,
3.3,12.4,116.9,
3.4,12.1,120.9,
3.5,11.9,124.8,
3.6,11.7,128.9,
3.7,11.5,133,
3.8,11.3,137.1,
3.9,11.2,141,
4,11.1,145.2,
