Fuente catodo,Voltaje anodo,Voltaje blindaje,
0.10,-0.2705,0.00,
0.20,1.8479,0.14,
0.30,1.4379,0.21,
0.40,1.2328,0.00,
0.50,-0.6806,-0.34,
0.60,0.4128,-1.36,
0.70,1.3695,-2.25,
0.80,1.3012,-4.10,
0.90,1.3695,-5.40,
1.00,-2.1156,-7.45,
1.10,-1.5006,-9.50,
1.20,-1.7739,-11.89,
1.30,-3.2773,-14.07,
1.40,-7.5141,-16.40,
1.50,-13.8010,-18.79,
1.60,-13.2543,-21.32,
1.70,-13.0493,-24.05,
1.80,-16.7395,-26.78,
1.90,-17.6278,-29.52,
2.00,-25.4181,-32.39,
2.10,-16.0561,-35.26,
2.20,-17.7645,-38.33,
2.30,-22.4797,-40.93,
2.40,-14.8944,-43.87,
2.50,-14.1427,-46.88,
2.60,-19.2679,-49.54,
2.70,-15.5777,-52.62,
2.80,-14.3477,-55.14,
2.90,-12.7760,-58.29,
3.00,-10.7942,-61.02,
3.10,-16.6028,-63.41,
3.20,-13.3227,-66.35,
3.30,-11.7509,-69.43,
3.40,-14.6210,-72.09,
3.50,-7.3091,-74.48,
3.60,-11.7509,-77.15,
3.70,-11.3409,-79.75,
3.80,-7.7191,-82.41,
3.90,-11.7509,-85.01,
4.00,-10.5209,-87.13,
