Fuente catodo,Voltaje anodo,Voltaje blindaje,
0.10,-0.8172,-5.94,
0.20,-3.4140,-7.72,
0.30,-1.0906,-10.11,
0.40,-1.7739,-12.64,
0.50,-3.6190,-15.17,
0.60,-7.0358,-17.90,
0.70,-8.5392,-20.77,
0.80,-8.7442,-24.05,
0.90,-15.5777,-26.85,
1.00,-15.5777,-30.20,
1.10,-17.1495,-33.41,
1.20,-18.2428,-36.83,
1.30,-19.2679,-40.38,
1.40,-21.3179,-44.01,
1.50,-18.1062,-47.35,
1.60,-18.7212,-50.84,
1.70,-18.1062,-54.80,
1.80,-19.8829,-58.36,
1.90,-17.1495,-62.05,
2.00,-18.4478,-65.94,
2.10,-18.3112,-69.49,
2.20,-16.3978,-73.66,
2.30,-17.5595,-77.63,
2.40,-17.4228,-81.04,
2.50,-13.8694,-85.28,
2.60,-16.8761,-89.31,
2.70,-13.5960,-93.07,
2.80,-10.0426,-97.17,
2.90,-13.5960,-100.93,
3.00,-12.7076,-104.69,
3.10,-16.4661,-108.72,
3.20,-17.8328,-112.75,
3.30,-12.6393,-116.58,
3.40,-15.0311,-120.54,
3.50,-11.1359,-124.57,
3.60,-8.6758,-128.54,
3.70,-12.5026,-132.77,
3.80,-12.2293,-136.74,
3.90,-6.4891,-140.97,
4.00,-9.5642,-144.87,
