E/N [Td],t [µs],Láser %,mV/div,ns/div,Notas
8,1.025,60,100,250,
9,1.06,60,100,250,
10,1.09,60,100,250,
12,1.125,60,100,250,
14,1.135,60,100,250,
16,1.12,60,100,250,
18,1.1,60,100,250,
20,1.07,60,100,250,Empieza ionización
23,1.02,60,100,250,
26,0.96,40,100,250,
30,0.905,40,100,250,
33,0.865,40,100,250,
36,,1100 V; hay descargas,,,
