E/N [Td],t [µs],Láser %,mV/div,ns/div
12,1.12,100,100,250
14,1.12,100,100,250
16,1.1,100,100,250
18,1.075,100,100,250
20,1.055,100,100,250
23,1.015,100,100,250
26,0.96,100,100,250
30,0.89,100,100,250
33,0.855,60,100,250
36,0.81,40,100,250
40,0.76,40,100,250
45,0.695,20,100,250
50,0.66,20,100,250
55,0.62,15.21,100,250
60,0.59,9.21,100,250
