Fuente catodo,Voltaje anodo,Voltaje blindaje,
0,0,0,
0.1,0,1.1,
0.2,0,2.1,
0.3,0,3.5,
0.4,0.1,5.2,
0.5,0.2,7.1,
0.6,0.7,9.2,
0.7,1.7,11.6,
0.8,3.4,14.1,
0.9,5.7,16.7,
1,8.2,19.5,
1.1,10.8,22.4,
1.2,13.1,25.3,
1.3,15,28.4,
1.4,16.4,31.6,
1.5,17.4,34.8,
1.6,18,38.1,
1.7,18.4,41.4,
1.8,18.5,44.9,
1.9,18.4,48.4,
2,18.2,51.9,
2.1,17.9,55.5,
2.2,17.5,59.1,
2.3,17.1,62.8,
2.4,16.6,66.5,
2.5,16,70.2,
2.6,15.4,74,
2.7,14.8,77.6,
2.8,14.3,81.3,
2.9,13.8,85.1,
3,13.4,88.8,
3.1,13,92.7,
3.2,12.7,96.6,
3.3,12.3,100.4,
3.4,12,104.2,
3.5,11.7,107.7,
3.6,11.5,111.5,
3.7,11.3,115.3,
3.8,11.1,119.2,
3.9,10.9,123,
4,10.8,127,
