wavelength,counts
478.94,1029.84
479.30,1022.81
479.66,1053.24
480.02,952.60
480.38,1013.45
480.74,952.60
481.11,912.81
481.47,1015.79
481.83,990.05
482.19,1060.26
482.55,1086.01
482.91,1018.13
483.27,1011.11
483.63,1036.86
484.00,1043.88
484.36,1069.62
484.72,1018.13
485.08,1043.88
485.44,1053.24
485.80,1046.22
486.16,1060.26
486.52,1090.69
486.88,1109.41
487.24,1104.73
487.61,1046.22
487.97,1130.48
488.33,1118.78
488.69,1088.35
489.05,1118.78
489.41,1121.12
489.77,1060.26
490.13,1128.14
490.49,1048.56
490.85,1151.54
491.21,1139.84
491.57,1107.07
491.93,1114.10
492.29,1076.65
492.65,1107.07
493.01,1100.05
493.37,1114.10
493.73,1074.31
494.09,1081.33
494.45,1083.67
494.81,1102.39
495.17,1102.39
495.53,1116.44
495.89,1088.35
496.25,1097.71
496.61,1062.60
496.97,1057.92
497.33,1107.07
497.69,1100.05
498.05,1032.18
498.41,1097.71
498.77,1027.50
499.13,1029.84
499.49,1090.69
499.85,1069.62
500.21,1041.54
500.57,985.37
500.93,968.98
501.29,976.00
501.65,1008.77
502.01,1027.50
502.37,1034.52
502.72,985.37
503.08,990.05
503.44,992.39
503.80,968.98
504.16,1022.81
504.52,1050.90
504.88,929.19
505.24,1027.50
505.60,1025.15
505.96,1076.65
506.31,980.68
506.67,1018.13
507.03,992.39
507.39,990.05
507.75,1022.81
508.11,952.60
508.47,973.66
508.83,990.05
509.18,983.03
509.54,961.96
509.90,961.96
510.26,994.73
510.62,952.60
510.98,961.96
511.33,908.13
511.69,973.66
512.05,938.55
512.41,926.85
512.77,978.34
513.12,964.30
513.48,912.81
513.84,924.51
514.20,976.00
514.56,954.94
514.91,894.08
515.27,954.94
515.63,961.96
515.99,973.66
516.35,978.34
516.70,884.72
517.06,971.32
517.42,910.47
517.78,1025.15
518.13,999.41
518.49,997.07
518.85,1013.45
519.21,976.00
519.56,966.64
519.92,954.94
520.28,973.66
520.64,947.92
520.99,931.53
521.35,940.90
521.71,952.60
522.07,901.11
522.42,952.60
522.78,1015.79
523.14,1001.75
523.49,999.41
523.85,968.98
524.21,924.51
524.56,987.71
524.92,964.30
525.28,952.60
525.64,931.53
525.99,922.17
526.35,936.21
526.71,905.79
527.06,954.94
527.42,1001.75
527.78,917.49
528.13,997.07
528.49,947.92
528.84,980.68
529.20,901.11
529.56,917.49
529.91,896.43
530.27,950.26
530.63,959.62
530.98,999.41
531.34,971.32
531.69,924.51
532.05,887.06
532.41,952.60
532.76,952.60
533.12,994.73
533.47,929.19
533.83,947.92
534.19,978.34
534.54,926.85
534.90,976.00
535.25,915.15
535.61,947.92
535.97,1025.15
536.32,983.03
536.68,903.45
537.03,961.96
537.39,952.60
537.74,898.77
538.10,912.81
538.45,919.83
538.81,880.04
539.16,1004.09
539.52,954.94
539.88,891.74
540.23,901.11
540.59,901.11
540.94,938.55
541.30,957.28
541.65,926.85
542.01,961.96
542.36,910.47
542.72,964.30
543.07,961.96
543.43,943.24
543.78,1025.15
544.14,1048.56
544.49,987.71
544.84,889.40
545.20,931.53
545.55,917.49
545.91,954.94
546.26,1029.84
546.62,922.17
546.97,997.07
547.33,976.00
547.68,945.58
548.04,973.66
548.39,947.92
548.74,922.17
549.10,1022.81
549.45,915.15
549.81,898.77
550.16,954.94
550.51,961.96
550.87,945.58
551.22,929.19
551.58,992.39
551.93,894.08
552.28,917.49
552.64,952.60
552.99,957.28
553.35,950.26
553.70,940.90
554.05,926.85
554.41,896.43
554.76,952.60
555.11,947.92
555.47,933.87
555.82,926.85
556.17,943.24
556.53,929.19
556.88,943.24
557.23,980.68
557.59,926.85
557.94,999.41
558.29,880.04
558.65,954.94
559.00,943.24
559.35,947.92
559.71,959.62
560.06,919.83
560.41,936.21
560.77,896.43
561.12,978.34
561.47,919.83
561.82,968.98
562.18,950.26
562.53,889.40
562.88,919.83
563.24,964.30
563.59,999.41
563.94,882.38
564.29,919.83
564.65,985.37
565.00,933.87
565.35,926.85
565.70,936.21
566.06,894.08
566.41,919.83
566.76,910.47
567.11,924.51
567.46,954.94
567.82,952.60
568.17,901.11
568.52,936.21
568.87,919.83
569.23,1011.11
569.58,915.15
569.93,936.21
570.28,940.90
570.63,966.64
570.98,924.51
571.34,898.77
571.69,954.94
572.04,924.51
572.39,945.58
572.74,901.11
573.09,917.49
573.45,931.53
573.80,882.38
574.15,938.55
574.50,994.73
574.85,992.39
575.20,964.30
575.55,880.04
575.91,896.43
576.26,929.19
576.61,910.47
576.96,957.28
577.31,919.83
577.66,980.68
578.01,950.26
578.36,947.92
578.71,891.74
579.07,889.40
579.42,922.17
579.77,978.34
580.12,917.49
580.47,966.64
580.82,912.81
581.17,957.28
581.52,964.30
581.87,952.60
582.22,971.32
582.57,945.58
582.92,917.49
583.27,875.36
583.62,901.11
583.97,954.94
584.32,844.93
584.67,997.07
585.02,968.98
585.37,947.92
585.72,842.59
586.07,947.92
586.42,973.66
586.77,1006.43
587.12,929.19
587.47,936.21
587.82,947.92
588.17,938.55
588.52,943.24
588.87,896.43
589.22,983.03
589.57,945.58
589.92,950.26
590.27,894.08
590.62,938.55
590.97,994.73
591.32,912.81
591.67,945.58
592.02,952.60
592.37,945.58
592.72,940.90
593.07,924.51
593.42,973.66
593.77,997.07
594.12,891.74
594.47,1013.45
594.81,915.15
595.16,985.37
595.51,990.05
595.86,961.96
596.21,992.39
596.56,952.60
596.91,931.53
597.26,954.94
597.61,985.37
597.95,924.51
598.30,994.73
598.65,999.41
599.00,1013.45
599.35,1025.15
599.70,997.07
600.05,952.60
600.39,924.51
600.74,954.94
601.09,957.28
601.44,952.60
601.79,966.64
602.14,915.15
602.48,936.21
602.83,952.60
603.18,1018.13
603.53,978.34
603.88,957.28
604.22,978.34
604.57,968.98
604.92,997.07
605.27,997.07
605.62,1001.75
605.96,990.05
606.31,947.92
606.66,966.64
607.01,971.32
607.35,961.96
607.70,968.98
608.05,947.92
608.40,950.26
608.74,971.32
609.09,940.90
609.44,1020.47
609.79,985.37
610.13,938.55
610.48,959.62
610.83,957.28
611.18,1041.54
611.52,1020.47
611.87,957.28
612.22,945.58
612.56,994.73
612.91,954.94
613.26,1006.43
613.61,1001.75
613.95,980.68
614.30,943.24
614.65,978.34
614.99,950.26
615.34,999.41
615.69,945.58
616.03,961.96
616.38,966.64
616.73,933.87
617.07,1001.75
617.42,968.98
617.76,929.19
618.11,957.28
618.46,1011.11
618.80,992.39
619.15,971.32
619.50,952.60
619.84,940.90
620.19,926.85
620.53,966.64
620.88,952.60
621.23,929.19
621.57,938.55
621.92,912.81
622.26,959.62
622.61,943.24
622.96,898.77
623.30,990.05
623.65,926.85
623.99,912.81
624.34,950.26
624.68,968.98
625.03,908.13
625.38,983.03
625.72,971.32
626.07,940.90
626.41,992.39
626.76,931.53
627.10,952.60
627.45,849.61
627.79,990.05
628.14,903.45
628.48,987.71
628.83,887.06
629.17,938.55
629.52,992.39
629.86,978.34
630.21,894.08
630.55,931.53
630.90,919.83
631.24,940.90
631.59,961.96
631.93,936.21
632.28,931.53
632.62,959.62
632.97,933.87
633.31,915.15
633.65,917.49
634.00,943.24
634.34,987.71
634.69,924.51
635.03,959.62
635.38,912.81
635.72,943.24
636.07,924.51
636.41,905.79
636.75,910.47
637.10,903.45
637.44,994.73
637.79,992.39
638.13,947.92
638.47,952.60
638.82,973.66
639.16,952.60
639.51,971.32
639.85,971.32
640.19,980.68
640.54,961.96
640.88,980.68
641.22,959.62
641.57,959.62
641.91,931.53
642.25,1001.75
642.60,924.51
642.94,882.38
643.28,933.87
643.63,980.68
643.97,990.05
644.31,952.60
644.66,936.21
645.00,903.45
645.34,947.92
645.69,994.73
646.03,936.21
646.37,954.94
646.72,973.66
647.06,901.11
647.40,990.05
647.74,983.03
648.09,943.24
648.43,964.30
648.77,961.96
649.11,983.03
649.46,987.71
649.80,954.94
650.14,971.32
650.48,924.51
650.83,903.45
651.17,905.79
651.51,882.38
651.85,952.60
652.20,919.83
652.54,961.96
652.88,903.45
653.22,915.15
653.57,905.79
653.91,968.98
654.25,945.58
654.59,936.21
654.93,943.24
655.27,891.74
655.62,954.94
655.96,978.34
656.30,936.21
656.64,910.47
656.98,903.45
657.33,917.49
657.67,919.83
658.01,929.19
658.35,999.41
658.69,926.85
659.03,915.15
659.37,950.26
659.72,978.34
660.06,936.21
660.40,936.21
660.74,940.90
661.08,901.11
661.42,968.98
661.76,959.62
662.10,901.11
662.44,926.85
662.79,945.58
663.13,910.47
663.47,891.74
663.81,968.98
664.15,957.28
664.49,866.00
664.83,926.85
665.17,950.26
665.51,968.98
665.85,933.87
666.19,905.79
666.53,929.19
666.87,964.30
667.21,936.21
667.55,929.19
667.89,926.85
668.23,912.81
668.57,910.47
668.91,966.64
669.26,926.85
669.60,980.68
669.94,917.49
670.28,966.64
670.62,931.53
670.96,940.90
671.29,894.08
671.63,908.13
671.97,936.21
672.31,896.43
672.65,929.19
672.99,929.19
673.33,894.08
673.67,957.28
674.01,882.38
674.35,976.00
674.69,938.55
675.03,933.87
675.37,1022.81
675.71,929.19
676.05,940.90
676.39,966.64
676.73,896.43
677.07,929.19
677.41,908.13
677.74,889.40
678.08,938.55
678.42,898.77
678.76,952.60
679.10,924.51
679.44,922.17
679.78,917.49
680.12,901.11
680.46,894.08
680.79,947.92
681.13,924.51
681.47,952.60
681.81,919.83
682.15,910.47
682.49,929.19
682.83,915.15
683.16,922.17
683.50,910.47
683.84,926.85
684.18,945.58
684.52,896.43
684.85,952.60
685.19,922.17
685.53,889.40
685.87,952.60
686.21,889.40
686.55,905.79
686.88,933.87
687.22,938.55
687.56,938.55
687.90,980.68
688.23,908.13
688.57,912.81
688.91,929.19
689.25,875.36
689.58,936.21
689.92,954.94
690.26,901.11
690.60,973.66
690.93,936.21
691.27,880.04
691.61,961.96
691.95,933.87
692.28,985.37
692.62,931.53
692.96,987.71
693.29,912.81
693.63,894.08
693.97,943.24
694.31,889.40
694.64,933.87
694.98,917.49
695.32,889.40
695.65,919.83
695.99,971.32
696.33,997.07
696.66,954.94
697.00,947.92
697.34,891.74
697.67,968.98
698.01,976.00
698.35,884.72
698.68,917.49
699.02,945.58
699.35,952.60
699.69,959.62
700.03,947.92
700.36,926.85
700.70,952.60
701.04,943.24
701.37,994.73
701.71,915.15
702.04,917.49
702.38,898.77
702.72,959.62
703.05,919.83
703.39,922.17
703.72,912.81
704.06,952.60
704.39,959.62
704.73,903.45
705.07,945.58
705.40,959.62
705.74,917.49
706.07,908.13
706.41,924.51
706.74,873.02
707.08,985.37
707.41,936.21
707.75,933.87
708.08,903.45
708.42,905.79
708.75,978.34
709.09,933.87
709.42,959.62
709.76,971.32
710.09,973.66
710.43,971.32
710.76,922.17
711.10,919.83
711.43,929.19
711.77,959.62
712.10,905.79
712.44,973.66
712.77,936.21
713.11,905.79
713.44,898.77
713.77,947.92
714.11,947.92
714.44,983.03
714.78,910.47
715.11,992.39
715.45,952.60
715.78,915.15
716.11,912.81
716.45,929.19
716.78,961.96
717.12,926.85
717.45,950.26
717.78,901.11
718.12,877.70
718.45,877.70
718.78,931.53
719.12,915.15
719.45,961.96
719.79,985.37
720.12,994.73
720.45,922.17
720.79,866.00
721.12,887.06
721.45,1022.81
721.79,961.96
722.12,964.30
722.45,966.64
722.79,905.79
723.12,896.43
723.45,877.70
723.79,917.49
724.12,891.74
724.45,898.77
724.78,961.96
725.12,905.79
